,Date,gain,total_gain
490,2022-07-28,5.300000000000182,1469.1999999999982
491,2022-07-29,5.599999999999909,1474.7999999999981
494,2022-08-01,13.200000000000045,1487.9999999999982
495,2022-08-02,-7.400000000000091,1480.599999999998
496,2022-08-03,4.0,1484.599999999998
497,2022-08-04,7.099999999999909,1491.699999999998
498,2022-08-05,-8.999999999999773,1482.6999999999982
501,2022-08-08,1.5,1484.1999999999982
502,2022-08-09,6.400000000000091,1490.5999999999983
503,2022-08-10,-2.0,1488.5999999999983
504,2022-08-11,-2.5,1486.0999999999983
505,2022-08-12,-14.700000000000045,1471.3999999999983
508,2022-08-15,12.299999999999955,1483.6999999999982
509,2022-08-16,-3.6000000000001364,1480.099999999998
510,2022-08-17,11.700000000000045,1491.7999999999981
511,2022-08-18,-4.0,1487.7999999999981
512,2022-08-19,5.499999999999773,1493.299999999998
515,2022-08-22,-9.700000000000045,1483.5999999999979
516,2022-08-23,11.700000000000045,1495.299999999998
517,2022-08-24,-1.5,1493.799999999998
518,2022-08-25,17.299999999999955,1511.0999999999979
519,2022-08-26,8.099999999999909,1519.1999999999978
522,2022-08-29,-31.800000000000182,1487.3999999999976
523,2022-08-30,0.7000000000002728,1488.0999999999979
524,2022-08-31,6.7000000000000455,1494.799999999998
525,2022-09-01,0.0,1494.799999999998
526,2022-09-02,0.0,1494.799999999998
529,2022-09-05,-7.600000000000136,1487.1999999999978
530,2022-09-06,3.900000000000091,1491.0999999999979
531,2022-09-07,8.599999999999909,1499.6999999999978
532,2022-09-08,7.2999999999999545,1506.9999999999977
533,2022-09-09,-2.7000000000000455,1504.2999999999977
536,2022-09-12,11.5,1515.7999999999977
537,2022-09-13,5.099999999999909,1520.8999999999976
538,2022-09-14,-12.700000000000045,1508.1999999999975
539,2022-09-15,3.2000000000000455,1511.3999999999976
540,2022-09-16,8.599999999999909,1519.9999999999975
543,2022-09-19,4.599999999999682,1524.5999999999972
544,2022-09-20,-2.200000000000273,1522.399999999997
545,2022-09-21,-3.6000000000001364,1518.7999999999968
546,2022-09-22,5.199999999999818,1523.9999999999966
547,2022-09-23,0.40000000000009095,1524.3999999999967
550,2022-09-26,-14.700000000000045,1509.6999999999966
551,2022-09-27,1.5,1511.1999999999966
552,2022-09-28,-12.5,1498.6999999999966
553,2022-09-29,31.299999999999955,1529.9999999999966
554,2022-09-30,2.1000000000001364,1532.0999999999967
557,2022-10-03,11.799999999999727,1543.8999999999965
558,2022-10-04,6.2999999999999545,1550.1999999999964
559,2022-10-05,13.0,1563.1999999999964
560,2022-10-06,19.59999999999991,1582.7999999999963
561,2022-10-07,-21.799999999999955,1560.9999999999964
564,2022-10-10,0.2999999999999545,1561.2999999999963
565,2022-10-11,2.2999999999999545,1563.5999999999963
566,2022-10-12,35.299999999999955,1598.8999999999962
567,2022-10-13,-35.89999999999998,1562.9999999999964
568,2022-10-14,4.7999999999999545,1567.7999999999963
571,2022-10-17,-39.899999999999864,1527.8999999999965
572,2022-10-18,7.7000000000000455,1535.5999999999965
573,2022-10-19,-4.7999999999999545,1530.7999999999965
574,2022-10-20,4.900000000000091,1535.6999999999966
575,2022-10-21,13.999999999999886,1549.6999999999966
578,2022-10-24,36.39999999999998,1586.0999999999967
579,2022-10-25,19.0,1605.0999999999967
580,2022-10-26,7.2999999999999545,1612.3999999999967
581,2022-10-27,57.299999999999955,1669.6999999999966
